city,microdistrict,floor,total_floors,area,rooms,price
Almaty,Orbita-1,8,12,95,3,60954665
Almaty,Samal-1,5,16,70,3,49243784
Almaty,Koktem-1,1,9,83,3,41217535
Almaty,Medeu,13,16,108,4,53664168
Almaty,Aksay-1,7,16,95,3,51342695
Almaty,Samal-2,4,21,47,2,32818855
Almaty,Samal-2,2,16,222,5,163449180
Almaty,Aksay-1,3,5,55,2,23844740
Almaty,Aksay-1,8,21,71,3,35484866
Almaty,Samal-1,3,5,98,3,74296975
Almaty,Medeu,2,12,67,2,31663642
Almaty,Samal-1,5,12,92,3,63608862
Almaty,Esentai,4,5,68,2,46560986
Almaty,Koktem-1,5,9,92,3,59650687
Almaty,Aksay-4,12,12,157,5,66537709
Almaty,Samal-1,2,21,65,2,52494238
Almaty,Esentai,1,21,58,2,36804816
Almaty,Esentai,4,9,185,6,139472659
Almaty,Aksay-4,5,12,96,3,47785271
Almaty,Koktem-1,8,12,87,3,45588108
Almaty,Medeu,7,9,113,4,52920988
Almaty,Aksay-1,4,9,98,3,47082630
Almaty,Koktem-1,15,16,155,5,80762398
Almaty,Aksay-4,3,5,71,3,38219930
Almaty,Aksay-1,7,21,85,3,40800076
Almaty,Medeu,11,16,93,3,39426745
Almaty,Aksay-4,11,21,83,3,40684559
Almaty,Orbita-1,15,16,103,4,57773177
Almaty,Medeu,1,9,61,2,33442797
Almaty,Samal-2,3,5,72,3,48324233
Almaty,Aksay-4,10,12,80,3,36780134
Almaty,Orbita-1,19,21,61,2,39095088
Almaty,Orbita-1,5,5,42,1,24287018
Almaty,Samal-1,6,16,53,2,36993329
Almaty,Esentai,9,16,124,4,93559514
Almaty,Samal-1,16,16,52,2,34190725
Almaty,Aksay-1,12,21,56,2,28347082
Almaty,Samal-2,5,9,98,3,71001889
Almaty,Aksay-1,15,21,91,3,49677043
Almaty,Samal-2,20,21,236,5,179980865
Almaty,Orbita-1,5,5,162,5,87473931
Almaty,Samal-1,5,5,98,3,70274943
Almaty,Samal-1,11,16,174,6,121149725
Almaty,Samal-1,8,16,121,4,87226968
Almaty,Medeu,10,16,49,2,28799245
Almaty,Aksay-1,4,9,163,6,101175871
Almaty,Samal-2,2,5,139,4,105578080
Almaty,Samal-1,6,21,90,3,57524152
Almaty,Koktem-1,9,12,58,2,32848089
Almaty,Koktem-1,1,16,96,3,48841861
Almaty,Medeu,5,16,99,3,51533618
Almaty,Aksay-1,13,21,98,3,51717189
Almaty,Medeu,17,21,189,6,104566395
Almaty,Samal-1,5,5,106,4,75432179
Almaty,Koktem-1,5,9,89,3,47666654
Almaty,Samal-2,11,16,46,2,31325834
Almaty,Samal-2,5,16,72,3,54503295
