city,district,rooms,area,price
Almaty,Наурызбайский р-н,4,130.27,105779240
Almaty,Турксибский р-н,4,127.16,90283600
Almaty,Турксибский р-н,3,86.85,51502050
Almaty,Медеуский р-н,3,135.6,173568000
Almaty,Медеуский р-н,1,62.7,65835000
Almaty,Жетысуский р-н,3,66.37,39822000
Almaty,Алмалинский р-н,1,33.0,32500000
Almaty,Алатауский р-н,2,51.8,27000000
Almaty,Бостандыкский р-н,3,78.0,59990000
Almaty,Медеуский р-н,4,121.5,285000000
Almaty,Бостандыкский р-н,2,81.6,84000000
Almaty,Алмалинский р-н,2,55.0,32950000
Almaty,Алатауский р-н,1,44.0,19000000
Almaty,Ауэзовский р-н,3,75.0,55000000
Almaty,Бостандыкский р-н,3,104.0,110000000
Almaty,Алмалинский р-н,4,126.48,151776000
Almaty,Наурызбайский р-н,3,92.4,68376000
Almaty,Unknown,2,64.2,26000000
Almaty,Медеуский р-н,2,65.8,78960000
Almaty,Медеуский р-н,3,92.0,68000000
Almaty,Алмалинский р-н,1,39.1,35000000
Almaty,Алатауский р-н,2,52.8,36000000
Almaty,Алатауский р-н,3,89.0,41500000
Almaty,Алатауский р-н,2,52.8,36000000
Almaty,Алатауский р-н,3,89.0,41500000
Almaty,Бостандыкский р-н,2,70.0,53500000
Almaty,Бостандыкский р-н,2,57.4,46900000
Almaty,Наурызбайский р-н,3,166.09,230865100
Almaty,Медеуский р-н,3,109.3,125695000
Almaty,Ауэзовский р-н,3,95.8,75682000
Almaty,Наурызбайский р-н,2,70.0,47000000
Almaty,Бостандыкский р-н,3,84.0,65000000
Almaty,Алатауский р-н,2,70.0,39000000
Almaty,Жетысуский р-н,2,53.0,30000000
Almaty,Бостандыкский р-н,3,77.0,55000000
Almaty,Бостандыкский р-н,3,54.0,41000000
Almaty,Медеуский р-н,3,96.0,110400000
Almaty,Алатауский р-н,3,72.8,26208000
Almaty,Наурызбайский р-н,1,35.0,17000000
Almaty,Бостандыкский р-н,4,82.1,79500000
Almaty,Наурызбайский р-н,4,119.0,109000000
Almaty,Бостандыкский р-н,3,79.0,97500000
Almaty,Наурызбайский р-н,2,39.0,35500000
Almaty,Алмалинский р-н,2,45.6,44000000
Almaty,Алмалинский р-н,3,92.0,58000000
Almaty,Ауэзовский р-н,2,49.0,29000000
Almaty,Ауэзовский р-н,1,54.0,37000000
Almaty,Unknown,1,45.65,17826325
Almaty,Медеуский р-н,1,52.84,50198000
Almaty,Медеуский р-н,3,109.95,201758250
Almaty,Турксибский р-н,3,98.96,64027120
Almaty,Бостандыкский р-н,4,138.11,113526420
Almaty,Бостандыкский р-н,3,141.91,289354490
