date,PM2.5,PM10,PM1,NO2,SO2,CO,Temperature,Humidity,Pressure
2021-09-10 00:00:00+00:00,11.27,12.6,9.73,,,,19.61,41.73,984.67
2021-09-11 00:00:00+00:00,6.57,7.41,5.545,,,,13.54,54.02,990.4
2021-09-12 00:00:00+00:00,14.29,16.36,12.68,,,,12.02,49.35,994.51
2021-09-13 00:00:00+00:00,11.79,13.1,10.405,,,,14.19,38.53,992.53
2021-09-14 00:00:00+00:00,5.0,5.8,4.2,,,,20.1,31.13,987.92
2021-09-15 00:00:00+00:00,6.14,7.18,5.27,,,,21.1,30.71,982.48
2021-09-16 00:00:00+00:00,13.71,14.86,11.43,,,,14.55,45.19,983.07
2021-09-17 00:00:00+00:00,14.04,15.57,12.0,,,,10.31,50.96,987.53
2021-09-18 00:00:00+00:00,10.29,11.64,8.685,,,,8.8,46.85,990.99
2021-09-19 00:00:00+00:00,14.18,16.13,11.959999999999999,,,,7.04,47.72,997.41
2021-09-20 00:00:00+00:00,27.42,31.9,23.794999999999998,,,,8.21,39.74,999.55
2021-09-21 00:00:00+00:00,8.28,9.22,6.960000000000001,,,,10.59,33.27,998.89
2021-09-22 00:00:00+00:00,8.53,9.59,7.13,,,,11.65,30.58,997.16
2021-09-23 00:00:00+00:00,8.92,10.14,7.57,,,,14.03,27.61,998.15
2021-09-24 00:00:00+00:00,5.7,6.93,4.715,,,,14.58,24.98,994.61
2021-09-25 00:00:00+00:00,13.15,14.89,11.195,,,,14.65,25.37,983.31
2021-09-26 00:00:00+00:00,18.34,21.14,15.65,,,,11.28,58.67,982.91
2021-09-27 00:00:00+00:00,21.5,23.8,18.265,,,,8.49,74.64,981.33
2021-09-28 00:00:00+00:00,11.48,12.39,9.675,,,,5.41,72.08,989.59
2021-09-29 00:00:00+00:00,14.04,15.23,11.895,,,,6.61,58.48,995.7
2021-09-30 00:00:00+00:00,23.23,25.58,19.775,,,,6.42,57.35,1001.35
2021-10-01 00:00:00+00:00,11.8,12.7,9.89,,,,9.01,47.07,1005.13
2021-10-02 00:00:00+00:00,11.53,12.59,9.725,,,,11.47,52.9,1005.52
2021-10-03 00:00:00+00:00,14.6,16.8,12.295,,,,11.01,52.22,1004.94
2021-10-04 00:00:00+00:00,9.73,10.75,8.21,,,,6.75,44.08,1008.85
2021-10-05 00:00:00+00:00,11.6,12.97,9.885,,,,1.41,50.04,1015.21
2021-10-06 00:00:00+00:00,30.87,35.61,26.84,,,,3.33,54.6,1015.42
2021-10-07 00:00:00+00:00,31.93,37.58,28.325,,,,3.47,53.21,1016.88
2021-10-08 00:00:00+00:00,45.38,57.5,42.45,,,,5.5,56.55,1009.03
2021-10-09 00:00:00+00:00,36.56,44.72,33.465,,,,6.9,45.8,1002.64
2021-10-10 00:00:00+00:00,37.4,46.44,34.285,,,,7.32,55.59,1001.89
2021-10-11 00:00:00+00:00,30.36,35.77,26.985,,,,7.2,61.92,1005.21
2021-10-12 00:00:00+00:00,22.0,24.57,18.785,,,,7.69,54.12,1007.32
2021-10-13 00:00:00+00:00,11.14,12.64,9.425,,,,6.03,44.32,1007.58
2021-10-14 00:00:00+00:00,13.66,15.4,11.63,,,,9.74,38.69,1006.1
2021-10-15 00:00:00+00:00,8.77,9.9,7.285,,,,8.33,38.39,1002.79
2021-10-16 00:00:00+00:00,19.7,22.67,16.97,,,,10.36,41.32,999.27
2021-10-17 00:00:00+00:00,10.07,11.25,8.59,,,,12.61,34.72,996.89
2021-10-18 00:00:00+00:00,7.68,8.93,6.51,,,,9.76,30.63,991.45
2021-10-19 00:00:00+00:00,12.93,14.69,10.9,,,,11.33,36.7,983.92
2021-10-20 00:00:00+00:00,26.24,28.74,22.475,,,,6.44,70.53,983.13
2021-10-21 00:00:00+00:00,8.36,9.39,7.135,,,,4.05,68.09,993.75
2021-10-22 00:00:00+00:00,26.15,28.21,22.3,,,,8.86,62.89,990.72
