date,PM2.5,PM10,PM1,NO2,SO2,CO,Temperature,Humidity,Pressure,year,month,day,day_of_week,day_name,week_of_year,quarter,season,is_heating_season,is_weekend,AQI_PM2.5,AQI_PM10,AQI,AQI_category,PM2.5_exceeds_WHO_daily,PM10_exceeds_WHO_daily,NO2_exceeds_WHO_daily,SO2_exceeds_WHO_daily,CO_exceeds_WHO_daily
2021-09-10 00:00:00+00:00,11.27,12.6,9.73,,,,19.61,41.73,984.67,2021,9,10,4,Friday,36,3,Autumn,False,False,47,12,47,Good,False,False,False,False,False
2021-09-11 00:00:00+00:00,6.57,7.41,5.545,,,,13.54,54.02,990.4,2021,9,11,5,Saturday,36,3,Autumn,False,True,27,7,27,Good,False,False,False,False,False
2021-09-12 00:00:00+00:00,14.29,16.36,12.68,,,,12.02,49.35,994.51,2021,9,12,6,Sunday,36,3,Autumn,False,True,56,15,56,Moderate,False,False,False,False,False
2021-09-13 00:00:00+00:00,11.79,13.1,10.405,,,,14.19,38.53,992.53,2021,9,13,0,Monday,37,3,Autumn,False,False,49,12,49,Good,False,False,False,False,False
2021-09-14 00:00:00+00:00,5.0,5.8,4.2,,,,20.1,31.13,987.92,2021,9,14,1,Tuesday,37,3,Autumn,False,False,21,5,21,Good,False,False,False,False,False
2021-09-15 00:00:00+00:00,6.14,7.18,5.27,,,,21.1,30.71,982.48,2021,9,15,2,Wednesday,37,3,Autumn,False,False,26,7,26,Good,False,False,False,False,False
2021-09-16 00:00:00+00:00,13.71,14.86,11.43,,,,14.55,45.19,983.07,2021,9,16,3,Thursday,37,3,Autumn,False,False,54,14,54,Moderate,False,False,False,False,False
2021-09-17 00:00:00+00:00,14.04,15.57,12.0,,,,10.31,50.96,987.53,2021,9,17,4,Friday,37,3,Autumn,False,False,55,14,55,Moderate,False,False,False,False,False
2021-09-18 00:00:00+00:00,10.29,11.64,8.685,,,,8.8,46.85,990.99,2021,9,18,5,Saturday,37,3,Autumn,False,True,43,11,43,Good,False,False,False,False,False
2021-09-19 00:00:00+00:00,14.18,16.13,11.96,,,,7.04,47.72,997.41,2021,9,19,6,Sunday,37,3,Autumn,False,True,55,15,55,Moderate,False,False,False,False,False
2021-09-20 00:00:00+00:00,27.42,31.9,23.795,,,,8.21,39.74,999.55,2021,9,20,0,Monday,38,3,Autumn,False,False,83,30,83,Moderate,True,False,False,False,False
2021-09-21 00:00:00+00:00,8.28,9.22,6.960000000000001,,,,10.59,33.27,998.89,2021,9,21,1,Tuesday,38,3,Autumn,False,False,34,9,34,Good,False,False,False,False,False
2021-09-22 00:00:00+00:00,8.53,9.59,7.13,,,,11.65,30.58,997.16,2021,9,22,2,Wednesday,38,3,Autumn,False,False,36,9,36,Good,False,False,False,False,False
2021-09-23 00:00:00+00:00,8.92,10.14,7.57,,,,14.03,27.61,998.15,2021,9,23,3,Thursday,38,3,Autumn,False,False,37,9,37,Good,False,False,False,False,False
2021-09-24 00:00:00+00:00,5.7,6.93,4.715,,,,14.58,24.98,994.61,2021,9,24,4,Friday,38,3,Autumn,False,False,24,6,24,Good,False,False,False,False,False
2021-09-25 00:00:00+00:00,13.15,14.89,11.195,,,,14.65,25.37,983.31,2021,9,25,5,Saturday,38,3,Autumn,False,True,53,14,53,Moderate,False,False,False,False,False
2021-09-26 00:00:00+00:00,18.34,21.14,15.65,,,,11.28,58.67,982.91,2021,9,26,6,Sunday,38,3,Autumn,False,True,64,20,64,Moderate,True,False,False,False,False
2021-09-27 00:00:00+00:00,21.5,23.8,18.265,,,,8.49,74.64,981.33,2021,9,27,0,Monday,39,3,Autumn,False,False,71,22,71,Moderate,True,False,False,False,False
2021-09-28 00:00:00+00:00,11.48,12.39,9.675,,,,5.41,72.08,989.59,2021,9,28,1,Tuesday,39,3,Autumn,False,False,48,11,48,Good,False,False,False,False,False
2021-09-29 00:00:00+00:00,14.04,15.23,11.895,,,,6.61,58.48,995.7,2021,9,29,2,Wednesday,39,3,Autumn,False,False,55,14,55,Moderate,False,False,False,False,False
2021-09-30 00:00:00+00:00,23.23,25.58,19.775,,,,6.42,57.35,1001.35,2021,9,30,3,Thursday,39,3,Autumn,False,False,74,24,74,Moderate,True,False,False,False,False
2021-10-01 00:00:00+00:00,11.8,12.7,9.89,,,,9.01,47.07,1005.13,2021,10,1,4,Friday,39,4,Autumn,True,False,49,12,49,Good,False,False,False,False,False
2021-10-02 00:00:00+00:00,11.53,12.59,9.725,,,,11.47,52.9,1005.52,2021,10,2,5,Saturday,39,4,Autumn,True,True,48,12,48,Good,False,False,False,False,False
2021-10-03 00:00:00+00:00,14.6,16.8,12.295,,,,11.01,52.22,1004.94,2021,10,3,6,Sunday,39,4,Autumn,True,True,56,16,56,Moderate,False,False,False,False,False
2021-10-04 00:00:00+00:00,9.73,10.75,8.21,,,,6.75,44.08,1008.85,2021,10,4,0,Monday,40,4,Autumn,True,False,41,10,41,Good,False,False,False,False,False
2021-10-05 00:00:00+00:00,11.6,12.97,9.885,,,,1.41,50.04,1015.21,2021,10,5,1,Tuesday,40,4,Autumn,True,False,48,12,48,Good,False,False,False,False,False
